Couple,File_1,File_2,Kappa
Hao-Axel,Axel/llama/sheet_50_annotations_FELTEN.csv,Hao/llama/sheet_50_annotations_Hao_llama.csv,0.252
Jinane-Axel,Axel/llama/sheet_50_annotations_FELTEN.csv,Jinane/llama/sheet_50_annotations_HARCHAL.csv,0.201
Mario-Jinane,Mario/llama/sheet_50_annotations_JAKIMOSKI.csv,Jinane/llama/sheet_50_annotations_HARCHAL.csv,0.097
Hao-Jinane,Hao/llama/sheet_50_annotations_Hao_llama.csv,Jinane/llama/sheet_50_annotations_HARCHAL.csv,0.152
Mario-Hao,Mario/llama/sheet_50_annotations_JAKIMOSKI.csv,Hao/llama/sheet_50_annotations_Hao_llama.csv,0.097
Mario-Axel,Axel/llama/sheet_7_annotations_FELTEN.csv,Mario/llama/sheet_7_annotations_JAKIMOSKI.csv,0.382
Hao-Axel,Axel/llama/sheet_7_annotations_FELTEN.csv,Hao/llama/sheet_7_annotations_Hao_llama.csv,0.290
Jinane-Axel,Axel/llama/sheet_7_annotations_FELTEN.csv,Jinane/llama/sheet_7_annotations_HARCHAL.csv,0.224
Mario-Jinane,Mario/llama/sheet_7_annotations_JAKIMOSKI.csv,Jinane/llama/sheet_7_annotations_HARCHAL.csv,0.218
Hao-Jinane,Hao/llama/sheet_7_annotations_Hao_llama.csv,Jinane/llama/sheet_7_annotations_HARCHAL.csv,0.173
Mario-Hao,Mario/llama/sheet_7_annotations_JAKIMOSKI.csv,Hao/llama/sheet_7_annotations_Hao_llama.csv,0.259
Mario-Axel,Axel/mistral/sheet_10_annotations_FELTEN.csv,Mario/mistral/sheet_10_annotations_JAKIMOSKI.csv,0.291
Hao-Axel,Axel/mistral/sheet_10_annotations_FELTEN.csv,Hao/mistral/sheet_10_annotations_Hao_mistral.csv,0.147
Jinane-Axel,Axel/mistral/sheet_10_annotations_FELTEN.csv,Jinane/mistral/sheet_10_annotations_HARCHAL.csv,0.342
Mario-Jinane,Mario/mistral/sheet_10_annotations_JAKIMOSKI.csv,Jinane/mistral/sheet_10_annotations_HARCHAL.csv,0.307
