Couple,File_1,File_2,Kappa
Hao-Axel,Axel/gemma/sheet_39_annotations_FELTEN.csv,Hao/gemma/sheet_39_annotations_Hao_Gemma.csv,0.047
Jinane-Axel,Axel/gemma/sheet_39_annotations_FELTEN.csv,Jinane/gemma/sheet_39_annotations_HARCHAL.csv,0.290
Mario-Jinane,Mario/gemma/sheet_39_annotations_JAKIMOSKI.csv,Jinane/gemma/sheet_39_annotations_HARCHAL.csv,0.110
Hao-Jinane,Hao/gemma/sheet_39_annotations_Hao_Gemma.csv,Jinane/gemma/sheet_39_annotations_HARCHAL.csv,0.011
Mario-Hao,Mario/gemma/sheet_39_annotations_JAKIMOSKI.csv,Hao/gemma/sheet_39_annotations_Hao_Gemma.csv,0.192
Mario-Axel,Axel/gemma/sheet_50_annotations_FELTEN.csv,Mario/gemma/sheet_50_annotations_JAKIMOSKI.csv,0.010
Hao-Axel,Axel/gemma/sheet_50_annotations_FELTEN.csv,Hao/gemma/sheet_50_annotations_Hao_Gemma.csv,0.083
Jinane-Axel,Axel/gemma/sheet_50_annotations_FELTEN.csv,Jinane/gemma/sheet_50_annotations_HARCHAL.csv,-0.004
Mario-Jinane,Mario/gemma/sheet_50_annotations_JAKIMOSKI.csv,Jinane/gemma/sheet_50_annotations_HARCHAL.csv,0.208
Hao-Jinane,Hao/gemma/sheet_50_annotations_Hao_Gemma.csv,Jinane/gemma/sheet_50_annotations_HARCHAL.csv,0.164
Mario-Hao,Mario/gemma/sheet_50_annotations_JAKIMOSKI.csv,Hao/gemma/sheet_50_annotations_Hao_Gemma.csv,0.226
Mario-Axel,Axel/gemma/sheet_7_annotations_FELTEN.csv,Mario/gemma/sheet_7_annotations_JAKIMOSKI.csv,0.207
Hao-Axel,Axel/gemma/sheet_7_annotations_FELTEN.csv,Hao/gemma/sheet_7_annotations_Hao_Gemma.csv,0.084
Jinane-Axel,Axel/gemma/sheet_7_annotations_FELTEN.csv,Jinane/gemma/sheet_7_annotations_HARCHAL.csv,0.189
Mario-Jinane,Mario/gemma/sheet_7_annotations_JAKIMOSKI.csv,Jinane/gemma/sheet_7_annotations_HARCHAL.csv,0.167
